Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда,День,Количество бронирований
4,2015-10-24,3,2015-10-26,1,305
5,2015-12-03,11,2015-12-13,1,353
4,2015-11-09,6,2015-11-13,1,323
4,2015-11-09,10,2015-11-14,1,324
10,2015-01-15,3,2015-01-15,1,21
10,2015-01-15,1,2015-01-16,1,22
10,2015-01-15,6,2015-01-17,1,23
11,2015-01-21,9,2015-01-28,1,34
11,2015-01-21,13,2015-01-29,1,35
11,2015-01-21,13,2015-01-30,1,36
11,2015-01-21,14,2015-01-31,1,37
10,2015-01-21,7,2015-01-23,1,29
10,2015-01-21,8,2015-01-24,1,30
8,2015-02-04,3,2015-02-05,1,42
8,2015-02-04,2,2015-02-06,1,43
8,2015-02-04,6,2015-02-07,1,44
8,2015-02-04,7,2015-02-08,1,45
22,2015-02-17,6,2015-02-18,1,55
22,2015-02-17,6,2015-02-19,1,56
22,2015-02-17,5,2015-02-20,1,57
22,2015-02-17,9,2015-02-21,1,58
22,2015-02-17,5,2015-02-22,1,59
9,2015-02-17,11,2015-02-24,1,61
9,2015-02-17,11,2015-02-25,1,62
9,2015-02-17,12,2015-02-26,1,63
9,2015-02-17,12,2015-02-27,1,64
9,2015-02-17,14,2015-02-28,1,65
9,2015-02-17,15,2015-03-01,1,66
9,2015-02-17,16,2015-03-02,1,67
9,2015-03-31,2,2015-03-31,1,96
6,2015-03-19,21,2015-04-08,1,104
6,2015-03-19,25,2015-04-09,1,105
6,2015-03-19,22,2015-04-10,1,106
9,2015-02-25,29,2015-03-21,1,86
9,2015-02-25,27,2015-03-22,1,87
9,2015-02-25,29,2015-03-23,1,88
9,2015-02-25,28,2015-03-24,1,89
9,2015-02-25,29,2015-03-25,1,90
9,2015-02-25,29,2015-03-26,1,91
9,2015-02-25,30,2015-03-27,1,92
5,2015-04-21,13,2015-05-02,1,128
5,2015-04-21,17,2015-05-03,1,129
3,2015-05-27,9,2015-06-04,1,161
3,2015-05-27,14,2015-06-05,1,162
3,2015-05-27,12,2015-06-06,1,163
3,2015-05-27,14,2015-06-07,1,164
5,2015-04-26,4,2015-04-30,1,126
3,2015-06-10,7,2015-06-13,1,170
3,2015-06-10,9,2015-06-14,1,171
3,2015-06-10,1,2015-06-11,1,168
3,2015-06-10,7,2015-06-12,1,169
2,2015-11-09,8,2015-11-13,2,323
2,2015-11-09,7,2015-11-14,2,324
7,2015-12-22,7,2015-12-24,1,364
7,2015-12-22,6,2015-12-25,1,365
4,2015-12-02,23,2015-12-21,1,361
4,2015-12-02,25,2015-12-22,1,362
4,2015-12-11,1,2015-12-11,1,351
9,2014-12-21,25,2015-01-15,2,21
9,2014-12-21,28,2015-01-16,2,22
9,2014-12-21,31,2015-01-17,2,23
13,2014-12-21,21,2015-01-06,1,12
13,2014-12-21,20,2015-01-07,1,13
13,2014-12-21,22,2015-01-08,1,14
12,2014-12-31,7,2015-01-02,1,8
12,2014-12-31,6,2015-01-03,1,9
18,2015-01-04,1,2015-01-04,1,10
18,2015-01-04,5,2015-01-05,1,11
13,2015-01-24,11,2015-02-02,1,39
13,2015-01-24,12,2015-02-03,1,40
13,2015-01-24,14,2015-02-04,1,41
13,2015-01-24,17,2015-02-05,2,42
13,2015-01-24,16,2015-02-06,2,43
10,2015-01-21,17,2015-02-07,2,44
10,2015-01-21,22,2015-02-08,2,45
10,2015-01-21,23,2015-02-09,1,46
10,2015-01-21,20,2015-02-10,1,47
10,2015-01-21,22,2015-02-11,1,48
10,2015-01-21,26,2015-02-12,1,49
10,2015-01-21,23,2015-02-13,1,50
8,2015-02-15,15,2015-03-01,2,66
8,2015-02-15,17,2015-03-02,2,67
8,2015-02-15,18,2015-03-03,1,68
16,2015-03-01,5,2015-03-04,1,69
16,2015-03-01,9,2015-03-05,1,70
16,2015-03-01,5,2015-03-06,1,71
16,2015-03-01,8,2015-03-07,1,72
16,2015-03-01,8,2015-03-08,1,73
9,2015-02-17,25,2015-03-09,1,74
9,2015-02-17,22,2015-03-10,1,75
9,2015-02-17,24,2015-03-11,1,76
9,2015-02-17,25,2015-03-12,1,77
9,2015-02-17,29,2015-03-13,1,78
9,2015-02-17,25,2015-03-14,1,79
9,2015-02-17,28,2015-03-15,1,80
5,2015-03-25,6,2015-03-31,2,96
5,2015-03-25,11,2015-04-01,1,97
5,2015-03-25,8,2015-04-02,1,98
6,2015-03-26,2,2015-03-27,2,92
6,2015-03-26,5,2015-03-28,1,93
5,2015-03-19,18,2015-04-04,1,100
5,2015-03-19,22,2015-04-05,1,101
5,2015-03-19,18,2015-04-06,1,102
5,2015-03-19,20,2015-04-07,1,103
5,2015-03-19,20,2015-04-08,2,104
5,2015-03-19,23,2015-04-09,2,105
5,2015-03-19,26,2015-04-10,2,106
16,2015-02-25,2,2015-02-26,2,63
16,2015-02-25,7,2015-02-27,2,64
16,2015-02-25,4,2015-02-28,2,65
5,2015-04-21,13,2015-04-30,2,126
5,2015-04-21,11,2015-05-01,1,127
5,2015-04-21,15,2015-05-02,2,128
5,2015-04-21,13,2015-05-03,2,129
9,2015-03-23,4,2015-03-24,2,89
9,2015-03-23,5,2015-03-25,2,90
4,2015-06-11,4,2015-06-11,2,168
8,2015-12-14,8,2015-12-19,1,359
8,2015-12-14,7,2015-12-20,1,360
11,2015-01-26,5,2015-01-29,2,35
11,2015-01-26,7,2015-01-30,2,36
8,2015-02-13,26,2015-03-09,2,74
8,2015-02-13,28,2015-03-10,2,75
8,2015-02-13,29,2015-03-11,2,76
8,2015-02-13,27,2015-03-12,2,77
8,2015-02-13,33,2015-03-13,2,78
8,2015-02-13,29,2015-03-14,2,79
8,2015-02-03,6,2015-02-06,3,43
8,2015-02-03,6,2015-02-07,3,44
8,2015-01-23,5,2015-01-23,2,29
8,2015-01-23,6,2015-01-24,2,30
8,2015-01-23,5,2015-01-25,1,31
8,2015-01-23,4,2015-01-26,1,32
8,2015-01-23,8,2015-01-27,1,33
8,2015-01-23,10,2015-01-28,2,34
10,2015-02-17,5,2015-02-18,2,55
10,2015-02-17,5,2015-02-19,2,56
10,2015-03-10,16,2015-03-22,2,87
10,2015-03-10,14,2015-03-23,2,88
10,2015-03-10,19,2015-03-24,3,89
10,2015-03-10,17,2015-03-25,3,90
10,2015-03-10,17,2015-03-26,2,91
10,2015-03-10,17,2015-03-27,3,92
9,2015-03-10,16,2015-03-22,3,87
9,2015-03-10,14,2015-03-23,3,88
9,2015-03-10,14,2015-03-24,4,89
25,2015-02-25,15,2015-03-07,2,72
25,2015-02-25,16,2015-03-08,2,73
6,2015-05-16,15,2015-05-28,1,154
3,2015-05-19,12,2015-05-26,1,152
3,2015-05-19,13,2015-05-27,1,153
3,2015-05-22,2,2015-05-22,1,148
5,2015-04-04,4,2015-04-04,2,100
5,2015-03-23,11,2015-03-31,3,96
5,2015-03-23,14,2015-04-01,2,97
5,2015-03-23,14,2015-04-02,2,98
5,2015-07-18,4,2015-07-18,1,205
3,2015-06-11,1,2015-06-11,3,168
3,2015-12-08,2,2015-12-09,1,349
3,2015-12-08,6,2015-12-10,1,350
17,2015-12-10,16,2015-12-25,2,365
17,2015-12-10,16,2015-12-26,1,366
17,2015-12-10,17,2015-12-27,1,367
4,2015-11-07,0,2015-11-07,1,317
4,2015-11-09,5,2015-11-13,3,323
4,2015-11-09,6,2015-11-14,3,324
28,2015-12-25,5,2015-12-30,1,370
28,2015-12-25,8,2015-12-31,1,371
28,2015-12-25,11,2016-01-01,1,372
28,2015-12-25,9,2016-01-02,1,373
28,2015-12-25,13,2016-01-03,1,374
28,2015-12-25,11,2016-01-04,1,375
3,2015-06-06,10,2015-06-12,2,169
3,2015-06-06,10,2015-06-13,2,170
3,2015-10-05,4,2015-10-05,1,284
3,2015-10-05,1,2015-10-06,1,285
3,2015-10-05,7,2015-10-07,1,286
3,2015-10-05,8,2015-10-08,1,287
3,2015-10-21,5,2015-10-26,2,305
3,2015-10-21,11,2015-10-27,1,306
3,2015-10-21,9,2015-10-28,1,307
3,2015-10-21,11,2015-10-29,1,308
3,2015-10-21,9,2015-10-30,1,309
3,2015-10-21,10,2015-10-31,1,310
3,2015-10-21,16,2015-11-01,1,311
3,2015-10-21,14,2015-11-02,1,312
12,2015-01-08,31,2015-02-04,2,41
12,2015-01-08,30,2015-02-05,3,42
12,2015-01-08,29,2015-02-06,4,43
12,2015-01-08,32,2015-02-07,4,44
8,2015-01-15,4,2015-01-15,3,21
8,2015-01-15,5,2015-01-16,3,22
8,2015-01-15,4,2015-01-17,3,23
8,2015-01-15,4,2015-01-18,1,24
11,2015-02-02,5,2015-02-02,2,39
11,2015-02-02,6,2015-02-03,2,40
20,2015-02-18,1,2015-02-18,3,55
20,2015-02-18,2,2015-02-19,3,56
20,2015-02-18,4,2015-02-20,2,57
5,2015-03-23,10,2015-03-31,4,96
5,2015-03-23,12,2015-04-01,3,97
5,2015-03-23,13,2015-04-02,3,98
5,2015-03-28,1,2015-03-28,2,93
3,2015-05-22,3,2015-05-22,2,148
5,2015-03-22,16,2015-04-04,3,100
3,2015-05-23,2,2015-05-25,1,151
5,2015-05-26,10,2015-06-03,1,160
5,2015-05-26,9,2015-06-04,2,161
5,2015-05-26,11,2015-06-05,2,162
5,2015-05-26,13,2015-06-06,2,163
5,2015-05-26,15,2015-06-07,2,164
5,2015-05-26,15,2015-06-08,1,165
5,2015-05-26,16,2015-06-09,1,166
5,2015-05-26,16,2015-06-10,1,167
5,2015-05-26,19,2015-06-11,4,168
5,2015-05-26,18,2015-06-12,3,169
5,2015-05-26,19,2015-06-13,3,170
5,2015-05-26,24,2015-06-14,2,171
5,2015-05-26,25,2015-06-15,1,172
5,2015-05-26,25,2015-06-16,1,173
5,2015-05-26,24,2015-06-17,1,174
5,2015-05-26,25,2015-06-18,1,175
5,2015-05-26,27,2015-06-19,1,176
5,2015-05-26,30,2015-06-20,1,177
5,2015-05-26,27,2015-06-21,1,178
5,2015-05-26,28,2015-06-22,1,179
5,2015-05-26,30,2015-06-23,1,180
5,2015-05-26,30,2015-06-24,1,181
5,2015-05-26,32,2015-06-25,1,182
5,2015-05-26,33,2015-06-26,1,183
5,2015-05-26,34,2015-06-27,1,184
5,2015-05-26,34,2015-06-28,1,185
5,2015-05-26,36,2015-06-29,1,186
5,2015-05-26,36,2015-06-30,1,187
5,2015-05-26,39,2015-07-01,1,188
5,2015-05-26,40,2015-07-02,1,189
3,2015-05-29,6,2015-06-04,3,161
17,2015-12-18,10,2015-12-24,2,364
17,2015-12-18,10,2015-12-25,3,365
17,2015-12-18,13,2015-12-26,2,366
3,2015-12-02,11,2015-12-09,2,349
3,2015-12-02,9,2015-12-10,2,350
8,2015-12-12,11,2015-12-19,2,359
8,2015-12-12,12,2015-12-20,2,360
4,2015-11-13,2,2015-11-13,4,323
4,2015-11-13,2,2015-11-14,4,324
4,2015-11-13,4,2015-11-15,1,325
4,2015-11-13,7,2015-11-16,1,326
2,2015-10-25,8,2015-10-29,2,308
6,2015-10-08,5,2015-10-08,2,287
4,2015-09-08,0,2015-09-08,1,257
5,2015-09-09,3,2015-09-09,1,258
5,2015-09-09,4,2015-09-10,1,259
5,2015-09-09,7,2015-09-11,1,260
5,2015-09-09,8,2015-09-12,1,261
5,2015-08-14,5,2015-08-14,1,232
